sid,name,country,lat,lon,elev,cerra_offset_km,fold
22727099999,KONDOPOGA,Russia,62.167,34.3,38.0,2.641,0
22802099999,SORTAVALA,Russia,61.717,30.717,19.0,2.2459,0
22805099999,VALAAM,Russia,61.367,30.883,16.0,0.9417,0
22820099999,PETROZAVODSK,Russia,61.817,34.267,110.0,3.2069,2
22831099999,PUDOZ,Russia,61.8,36.583,44.0,1.345,2
22837099999,VYTEGRA,Russia,61.017,36.45,56.0,2.7141,2
22845099999,KARGOPOL',Russia,61.5,38.933,126.0,3.4524,2
22892099999,VYBORG,Russia,60.717,28.733,13.0,2.1074,4
22912099999,OLONEC,Russia,60.983,32.983,12.0,2.2373,2
22913099999,LODEJNOE POLE,Russia,60.717,33.55,23.0,3.1802,2
22917099999,NOVAJA LADOGA,Russia,60.117,32.317,9.0,1.5247,3
22925099999,VINNICY,Russia,60.633,34.783,111.0,1.5117,2
22939099999,BELOZERSK,Russia,60.017,37.75,131.0,2.9197,2
26038099999,LENNART MERI TALLINN,Estonia,59.413,24.833,39.9,1.4191,1
26038199999,PARNU,Estonia,58.417,24.467,47.0,0.894,1
26045099999,KUNDA,Estonia,59.517,26.55,3.0,1.2742,1
26046099999,JOHVI,Estonia,59.333,27.383,75.0,3.156,1
26058099999,NARVA-JOESUU,Estonia,59.389,28.117,29.9,2.3484,1
26059099999,KINGISEPP,Russia,59.367,28.6,19.0,2.6403,1
26063099999,PULKOVO,Russia,59.8,30.263,24.1,2.0437,3
26067099999,VOLOSOVO,Russia,59.433,29.5,129.0,2.3456,3
26069099999,BELOGORKA,Russia,59.35,30.133,90.0,0.57,3
26072099999,SHLISSEL'BURG,Russia,59.933,31.0,17.0,0.5844,3
26078099999,LJUBAN',Russia,59.35,31.233,39.0,1.9889,3
26080099999,KIRISHI,Russia,59.45,32.033,26.0,1.9968,3
26094099999,TIHVIN,Russia,59.65,33.55,61.0,0.5658,2
26099099999,EFIMOVSKAJA,Russia,59.5,34.7,176.0,1.3763,2
26134099999,KUUSIKU,Estonia,58.967,24.733,52.0,1.9016,1
26135099999,TURI,Estonia,58.817,25.417,65.0,2.2583,1
26141099999,VALKE-MAARJA,Estonia,59.133,26.233,123.0,1.6896,1
26144099999,JOGEVA,Estonia,58.75,26.417,71.0,3.0018,1
26145099999,TILRIKOJA,Estonia,58.867,26.95,34.0,3.1652,1
26157099999,GDOV,Russia,58.733,27.833,40.0,1.5498,1
26167099999,NIKOLAEVSKOE,Russia,58.567,29.8,91.0,3.1177,3
26179099999,NOVGOROD,Russia,58.517,31.25,24.0,2.5659,3
26233099999,VILJANDI,Estonia,58.367,25.6,86.0,0.5498,1
26242099999,TARTU,Estonia,58.307,26.69,66.8,3.1312,1
26258099999,PSKOV,Russia,57.784,28.396,46.9,1.4791,1
26264099999,STRUGI KRASNYE,Russia,58.267,29.1,129.0,2.5748,3
26268099999,DNO,Russia,57.817,29.95,71.0,2.5366,3
26275099999,STARAYA RUSSA,Russia,58.017,31.317,25.0,2.344,3
26285099999,KRESTCY,Russia,58.267,32.533,63.0,2.0975,3
26291099999,BOROVICI,Russia,58.417,33.9,89.0,2.1214,3
26298099999,BOLOGOE,Russia,57.9,34.03,188.0,0.9785,3
26381099999,DEMJANSK,Russia,57.65,32.467,62.0,3.6682,3
26389099999,OSTASKOV,Russia,57.133,33.117,218.0,2.0968,3
26393099999,VYSNIJ VOLOCEK,Russia,57.55,34.567,169.0,1.675,3
27008099999,BABAEVO,Russia,59.4,35.9,137.0,2.6767,2
27106099999,USTYUZHNA,Russia,58.85,36.433,125.0,1.3625,2
27108099999,OHONY,Russia,58.567,35.633,145.0,1.8169,2
27208099999,MAKSATIKHA,Russia,57.8,35.883,142.0,2.3008,2
