authors,year,title,venue,doi,arxiv_id,cited_by_count,is_preprint,tracks,n_tracks,relevance_note
Nils Gustafsson; Tijana Janjić; Christoph Schraff; Daniel Leuenberger; Martin Weißmann; Hendrik Reich et al.,2017.0,Survey of data assimilation methods for convective‐scale numerical weather prediction at operational centres,Quarterly Journal of the Royal Meteorological Society,10.1002/qj.3179,,341.0,False,Regional,1,Survey of data assimilation methods for convective-scale NWP at operational centres - context for why regional analyses differ from global.
G. Candille et al.,2005.0,Evaluation of probabilistic prediction systems for a scalar variable,Quarterly Journal of the Royal Meteorological Society,10.1256/qj.04.71,,309.0,False,Verification,1,"Systematic framework for evaluating scalar probabilistic prediction: reliability, resolution, and observation error."
Barbara Casati et al.,2008.0,Forecast verification: current status and future directions,Meteorological Applications,10.1002/met.52,,304.0,False,Verification,1,Survey of forecast verification status and future directions; useful map of the sub-field's method families.
Karen Stengel et al.,2020.0,Adversarial super-resolution of climatological wind and solar data,Proceedings of the National Academy of Sciences,10.1073/pnas.1918964117,,292.0,False,Deep downscaling,1,Adversarial super-resolution of climatological wind and solar fields; the highly cited GAN-SR reference outside precipitation.
Alexandre M.J.‐C. Wadoux et al.,2021.0,Spatial cross-validation is not the right way to evaluate map accuracy,Ecological Modelling,10.1016/j.ecolmodel.2021.109692,,289.0,False,Verification,1,The counter-argument: spatial CV can be pessimistically biased for map accuracy. Shows the choice of CV must match the intended inference.
Irina Sandu; Anton Beljaars; Peter Bechtold; Thorsten Mauritsen; Gianpaolo Balsamo,2013.0,Why is it so difficult to represent stably stratified conditions in numerical weather prediction (NWP) models?,Journal of Advances in Modeling Earth Systems,10.1002/jame.20013,,279.0,False,Regional,1,Sandu et al.: why stably stratified conditions are so hard in NWP. Physical explanation of the error structure a post-processor would be learning to correct.
Thomas Vandal et al.,2017.0,DeepSD,,10.1145/3097983.3098004,,274.0,False,Deep downscaling,1,"Origin point for CNN super-resolution downscaling (DeepSD, stacked SRCNN). Historical anchor only; superseded methodologically."
Thomas M. Hamill et al.,2006.0,Measuring forecast skill: is it real skill or is it the varying climatology?,Quarterly Journal of the Royal Meteorological Society,10.1256/qj.06.25,,271.0,False,Verification,1,"Skill scores against a pooled climatology are inflated purely by spatial or seasonal variation in the climatology itself. Critical for a 144-station, 55-70N domain: pool stations and you will manufacture skill."
Vincent Fortin et al.,2014.0,Why Should Ensemble Spread Match the RMSE of the Ensemble Mean?,Journal of Hydrometeorology,10.1175/jhm-d-14-0008.1,,262.0,False,Verification,1,"Why the spread-skill ratio should be compared to sqrt((M+1)/M), not 1, for an M-member ensemble. Directly relevant at 51 members and to any subsampling."
Maxime Taillardat et al.,2016.0,Calibrated Ensemble Forecasts Using Quantile Regression Forests and Ensemble Model Output Statistics,Monthly Weather Review,10.1175/mwr-d-15-0260.1,,260.0,False,Post-processing,1,"QRF postprocessing: nonparametric, arbitrary predictors, no distributional assumption. Beat EMOS on Meteo-France PEARP temperature and wind."
Wentao Li et al.,2017.0,A review on statistical postprocessing methods for hydrometeorological ensemble forecasting,Wiley Interdisciplinary Reviews Water,10.1002/wat2.1246,,259.0,False,Post-processing,1,"Hydrometeorological postprocessing review; complementary taxonomy, more on precipitation and multivariate structure."
Christophe Accadia et al.,2003.0,Sensitivity of Precipitation Forecast Skill Scores to Bilinear Interpolation and a Simple Nearest-Neighbor Average Method on High-Resolution Verification Grids,Weather and Forecasting,10.1175/1520-0434(2003)018<0918:sopfss>2.0.co;2,,257.0,False,Verification,1,Interpolation choice alone changes precipitation skill scores on high-resolution verification grids.
Jeffrey S. Whitaker et al.,1998.0,The Relationship between Ensemble Spread and Ensemble Mean Skill,Monthly Weather Review,10.1175/1520-0493(1998)126<3292:trbesa>2.0.co;2,,240.0,False,Verification,1,"Original spread-skill relationship: spread predicts skill only in a distributional sense, not case by case."
Florian Pappenberger et al.,2015.0,How do I know if my forecasts are better? Using benchmarks in hydrological ensemble prediction,Journal of Hydrology,10.1016/j.jhydrol.2015.01.024,,232.0,False,Verification,1,"Benchmarks in ensemble prediction: a method that beats the raw forecast but not climatology has achieved nothing. The baseline argument, made explicitly."
Thomas M. Hamill et al.,2008.0,Probabilistic Forecast Calibration Using ECMWF and GFS Ensemble Reforecasts. Part II: Precipitation,Monthly Weather Review,10.1175/2007mwr2411.1,,231.0,False,Post-processing,1,Companion precipitation study; contrast case for why temperature is the easy first variable.
Fang Wang et al.,2021.0,Deep Learning for Daily Precipitation and Temperature Downscaling,Water Resources Research,10.1029/2020wr029308,,226.0,False,Deep downscaling,1,Widely cited DL downscaling of daily precipitation and temperature; general background.
Alexander I. Jordan et al.,2019.0,Evaluating Probabilistic Forecasts with scoringRules,Journal of Statistical Software,10.18637/jss.v090.i12,,226.0,False,Verification,1,"scoringRules: reference implementation of CRPS, log score, energy/variogram scores; the software to actually compute these."
Nigel Roberts,2008.0,Assessing the spatial and temporal variation in the skill of precipitation forecasts from an NWP model,Meteorological Applications,10.1002/met.57,,207.0,False,Verification,1,Assessing spatial and temporal variation in the skill of precipitation forecasts; complements the FSS work with skilful-scale variability.
Jeffrey S. Racine,2000.0,Consistent cross-validatory model-selection for dependent data: hv-block cross-validation,Journal of Econometrics,10.1016/s0304-4076(00)00030-0,,207.0,False,Verification,1,"Consistent cross-validatory model selection for dependent data: hv-block CV, the formal basis for leaving gaps around held-out blocks in serially correlated data."
Roberto Buizza et al.,1998.0,Impact of Ensemble Size on Ensemble Prediction,Monthly Weather Review,10.1175/1520-0493(1998)126<2503:ioesoe>2.0.co;2,,206.0,False,Verification,1,"Impact of ensemble size on ensemble prediction: the classic demonstration that skill saturates with M, and that small ensembles systematically underperform."
Jonathan Eden et al.,2012.0,"Skill, Correction, and Downscaling of GCM-Simulated Precipitation",Journal of Climate,10.1175/jcli-d-11-00254.1,,201.0,False,Deep downscaling,1,"Skill, correction and downscaling of GCM-simulated precipitation; a standard reference on when correction is and is not legitimate. NOTE: abstract not retrievable, cited at title level."
Jochen Bröcker et al.,2007.0,Scoring Probabilistic Forecasts: The Importance of Being Proper,Weather and Forecasting,10.1175/waf966.1,,200.0,False,Verification,1,Accessible meteorological argument for propriety; shows how improper scores reward hedging.
Yehui Zhang; Dian J. Seidel; Jean‐Christophe Golaz; Clara Deser; Robert A. Tomas,2011.0,Climatological Characteristics of Arctic and Antarctic Surface-Based Inversions,Journal of Climate,10.1175/2011jcli4004.1,,195.0,False,Regional,1,"Zhang et al.: climatology of Arctic surface-based inversions from radiosondes - frequency, depth and strength of the inversions that dominate winter error."
Lucy Harris et al.,2022.0,A Generative Deep Learning Approach to Stochastic Downscaling of Precipitation Forecasts,Journal of Advances in Modeling Earth Systems,10.1029/2022ms003120,,194.0,False,Deep downscaling,1,"Extends the stochastic GAN from reconstruction of coarsened fields to the harder problem of increasing accuracy AND resolution of actual low-resolution forecast-model input, with high-resolution radar as truth. This is the MOS-framing generative downscaling paper."
Gianpaolo Balsamo; Rui Salgado; Emanuel Dutra; Souhail Boussetta; Tim Stockdale; Miguel Potes,2012.0,On the contribution of lakes in predicting near-surface temperature in a global weather forecasting model,Tellus A Dynamic Meteorology and Oceanography,10.3402/tellusa.v64i0.15829,,194.0,False,Regional,1,"Balsamo et al.: adding FLake to the ECMWF IFS changes near-surface temperature forecasts - establishes that lake representation is a first-order forecast issue, which matters directly for Ladoga and Onega."
Renate Hagedorn et al.,2008.0,Probabilistic Forecast Calibration Using ECMWF and GFS Ensemble Reforecasts. Part I: Two-Meter Temperatures,Monthly Weather Review,10.1175/2007mwr2410.1,,187.0,False,Post-processing,1,"Reforecast-calibrated 2m temperature; quantifies how much of ensemble error is systematic and correctable, and how training length matters."
