theme,first_author,year,title,venue,doi,cited_by,oa_status,type,retracted,authors,relevance
A_reanalysis_verification,Cristian Lussana,2019.0,"seNorge_2018, daily precipitation and temperature datasets over Norway",Earth System Science Data (discussion paper),10.5194/essd-2019-43,12,gold,preprint,False,Cristian Lussana; Ole Einar Tveito; Andreas Dobler; Ketil Tunheim,seNorge_2018: 1 km daily gridded precipitation and temperature over Norway from station interpolation. Shows what a national gridded product looks like - and that no equivalent exists openly for NW Russia.
A_reanalysis_verification,Frank Kaspar,2020.0,Regional atmospheric reanalysis activities at Deutscher Wetterdienst: review of evaluation results and application examples with a focus on renewable energy,Advances in science and research,10.5194/asr-17-115-2020,48,gold,article,False,Frank Kaspar; Deborah Niermann; Michael Borsche; Stephanie Fiedler; Jan D. Keller; Roland Potthast et al.,DWD COSMO regional reanalyses (to 2 km): review of evaluation results and access. Useful model for what a regional reanalysis can and cannot add over a global one.
A_reanalysis_verification,Petter Lind,2020.0,Benefits and added value of convection-permitting climate modeling over Fenno-Scandinavia,Climate Dynamics,10.1007/s00382-020-05359-3,103,hybrid,article,False,Petter Lind; Danijel Belušić; Ole B. Christensen; Andreas Dobler; Erik Kjellström; Oskar Landgren et al.,First long-term convection-permitting (3 km HCLIM) simulation over Fenno-Scandinavia: added value and where km-scale actually matters.
A_reanalysis_verification,Zheng Qi Wang,2021.0,The Impact of Assimilating Satellite Radiance Observations in the Copernicus European Regional Reanalysis (CERRA),Remote Sensing,10.3390/rs13030426,15,gold,article,False,Zheng Qi Wang; Roger Randriamampianina,"Satellite radiance assimilation in CERRA - explains why CERRA is pinned to observations, the same assimilation-circularity trap already found with ERA5 and SYNOP."
A_reanalysis_verification,Roger Randriamampianina,2021.0,Relative impact of observations on a regional Arctic numerical weather prediction system,Quarterly Journal of the Royal Meteorological Society,10.1002/qj.4018,37,hybrid,article,False,Roger Randriamampianina; Niels Bormann; Morten A. Ø. Køltzow; Heather Lawrence; Irina Sandu; Zheng Qi Wang,Observing-system experiments in AROME-Arctic: relative impact of Arctic conventional and satellite observations on regional forecast skill.
A_reanalysis_verification,Morten Køltzow,2021.0,On the configuration of a regional Arctic Numerical Weather Prediction system to maximize predictive capacity,Tellus A Dynamic Meteorology and Oceanography,10.1080/16000870.2021.1976093,6,gold,article,False,Morten Køltzow; Rafael Grote; Andrew Singleton,"Configuration of a regional Arctic NWP system to maximise predictive capability - what resolution, physics and boundary choices actually buy."
A_reanalysis_verification,Morten Køltzow,2022.0,Value of the Copernicus Arctic Regional Reanalysis (CARRA) in representing near-surface temperature and wind speed in the north-east European Arctic,Polar Research,10.33265/polar.v41.8002,66,gold,article,False,Morten Køltzow; Harald Schyberg; Eivind Støylen; Xiaohua Yang,CARRA vs ERA5 against station T2m/WS10 in NE European Arctic. Quantifies representativeness error as 50-60% of total T2m MAE for BOTH reanalyses - the ceiling any downscaling of gridded fields faces. CARRA-East covers Kola but not the southern box.
A_reanalysis_verification,Hilde Haakenstad,2022.0,NORA3. Part II: Precipitation and Temperature Statistics in Complex Terrain Modeled with a Nonhydrostatic Model,Journal of Applied Meteorology and Climatology,10.1175/jamc-d-22-0005.1,29,hybrid,article,False,Hilde Haakenstad; Øyvind Breivik,NORA3: 3 km convection-permitting hindcast over Scandinavia/Nordic seas driven by ERA5 - precipitation and temperature statistics in complex terrain.
A_reanalysis_verification,Diego Monteiro,2023.0,"Multi-decadal analysis of past winter temperature, precipitation and snow cover data in the European Alps from reanalyses, climate models and observational datasets",The cryosphere,10.5194/tc-17-3617-2023,64,gold,article,False,Diego Monteiro; Samuel Morin,"Multi-decadal intercomparison of ERA5, ERA5-Land, CERRA-Land, UERRA MESCAN-SURFEX for winter temperature, precipitation, snow. Template for how to benchmark competing gridded products."
A_reanalysis_verification,Martin Ridal,2024.0,"CERRA, the Copernicus European Regional Reanalysis system",Quarterly Journal of the Royal Meteorological Society,10.1002/qj.4764,76,hybrid,article,False,Martin Ridal; Éric Bazile; Patrick Le Moigne; Roger Randriamampianina; Semjon Schimanke; Ulf Andrae et al.,"CERRA system description: 5.5 km HARMONIE reanalysis, 1984-2021, pan-European domain, plus 11 km 10-member EDA and CERRA-Land surface analysis. The candidate high-resolution truth dataset for this box; free via Copernicus CDS."
A_reanalysis_verification,Francesco Cavalleri,2024.0,Inter‐comparison and validation of high‐resolution surface air temperature reanalysis fields over Italy,International Journal of Climatology,10.1002/joc.8475,28,hybrid,article,False,Francesco Cavalleri; Francesca Viterbo; Michele Brunetti; Riccardo Bonanno; Veronica Manara; Cristian Lussana et al.,"Inter-comparison and validation of high-resolution surface air temperature reanalysis fields, including CERRA, against dense station data."
B_phenomena_inversion,Yehui Zhang,2011.0,Climatological Characteristics of Arctic and Antarctic Surface-Based Inversions,Journal of Climate,10.1175/2011jcli4004.1,195,bronze,article,False,Yehui Zhang; Dian J. Seidel; Jean‐Christophe Golaz; Clara Deser; Robert A. Tomas,"Zhang et al.: climatology of Arctic surface-based inversions from radiosondes - frequency, depth and strength of the inversions that dominate winter error."
B_phenomena_lake_sea,Hannu Savijärvi,2012.0,Cold air outbreaks over high-latitude sea gulfs,Tellus A Dynamic Meteorology and Oceanography,10.3402/tellusa.v64i0.12244,26,gold,article,False,Hannu Savijärvi,Savijarvi: idealised 2-D cold-air outbreak across an 80 km non-frozen gulf at 60N - explicitly a 'Gulf of Finland' configuration. Mechanism paper for mid-gulf land-breeze convergence and snow bands.
B_phenomena_lake_sea,Gianpaolo Balsamo,2012.0,On the contribution of lakes in predicting near-surface temperature in a global weather forecasting model,Tellus A Dynamic Meteorology and Oceanography,10.3402/tellusa.v64i0.15829,194,gold,article,False,Gianpaolo Balsamo; Rui Salgado; Emanuel Dutra; Souhail Boussetta; Tim Stockdale; Miguel Potes,"Balsamo et al.: adding FLake to the ECMWF IFS changes near-surface temperature forecasts - establishes that lake representation is a first-order forecast issue, which matters directly for Ladoga and Onega."
B_phenomena_lake_sea,Margarita Choulga,2014.0,Estimation of the mean depth of boreal lakes for use in numerical weather prediction and climate modelling,Tellus A Dynamic Meteorology and Oceanography,10.3402/tellusa.v66.21295,78,gold,article,False,Margarita Choulga; Ekaterina Kourzeneva; Elena Zakharova; Arkady M. Doganovsky,Choulga & Kourzeneva: mean depth estimation for boreal lakes (GLDB) for NWP lake parameterisation - the ancillary data that determines how well a model treats Ladoga/Onega.
B_phenomena_lake_sea,Jordi Mazón,2015.0,Snow bands over the Gulf of Finland in wintertime,Tellus A Dynamic Meteorology and Oceanography,10.3402/tellusa.v67.25102,32,gold,article,False,Jordi Mazón; Sami Niemelä; David Pino; Hannu Savijärvi; Timo Vihma,"Snow bands over the Gulf of Finland: WRF + radar for Jan 2006 and Feb 2012. Bands >300 km long, easterly winds 12-14 m/s, ~18 K land-sea potential temperature contrast driving colliding land breezes with ~86 cm/s updraught. The single most on-domain mesoscale paper found."
B_phenomena_lake_sea,Hannu Savijärvi,2015.0,Cold air outbreaks along a non-frozen sea channel: effects of wind on snow bands,Meteorology and Atmospheric Physics,10.1007/s00703-015-0370-8,9,closed,article,False,Hannu Savijärvi,Savijarvi follow-up: effect of wind speed on snow bands along a non-frozen sea channel.
B_phenomena_lake_sea,Julia Jeworrek,2017.0,Characteristics of convective snow bands along the Swedish east coast,Earth System Dynamics,10.5194/esd-8-163-2017,28,gold,article,False,Julia Jeworrek; Lichuan Wu; Christian Dieterich; Anna Rutgersson,Jeworrek et al.: convective snow bands along the Swedish east coast - the Baltic analogue with coupled atmosphere-ocean-wave modelling.
B_phenomena_lake_sea,Taru Olsson,2017.0,Intense sea-effect snowfall case on the western coast of Finland,Advances in science and research,10.5194/asr-14-231-2017,15,gold,article,False,Taru Olsson; Tuuli Perttula; Kirsti Jylhä; Anna Luomaranta,"Intense sea-effect snowfall case, W Finland: 73 cm (31 mm liquid) in under a day, very small footprint. Shows the spatial scale a 0.25 deg forecast cannot resolve."
B_phenomena_lake_sea,Yurii Batrak,2018.0,"Implementation of a simple thermodynamic sea ice scheme, SICE version 1.0-38h1, within the ALADIN–HIRLAM numerical weather prediction system version 38h1",Geoscientific model development,10.5194/gmd-11-3347-2018,27,gold,article,False,Yurii Batrak; Ekaterina Kourzeneva; Mariken Homleid,Batrak et al.: simple thermodynamic sea-ice scheme in ALADIN-HIRLAM. Notes 2 m temperature MAE reaching 1.5 C at +15 h for Svalbard when ice properties are misrepresented.
B_phenomena_lake_sea,Laura Rontu,2019.0,Validation of lake surface state in the HIRLAM v.7.4 numerical weather prediction model against in situ measurements in Finland,Geoscientific model development,10.5194/gmd-12-3707-2019,10,gold,article,False,Laura Rontu; Kalle Eerola; Matti Horttanainen,Rontu & Eerola: validation of HIRLAM lake surface state (FLake + LSWT analysis) against in-situ measurements.
B_phenomena_lake_sea,Taru Olsson,2020.0,Statistics of sea-effect snowfall along the Finnish coastline based on regional climate model data,Advances in science and research,10.5194/asr-17-87-2020,11,gold,article,False,Taru Olsson; Anna Luomaranta; Kirsti Jylhä; Julia Jeworrek; Tuuli Perttula; Christian Dieterich et al.,Olsson et al.: statistics of sea-effect snowfall along the Finnish coastline from regional climate model data - defines the meteorological conditions favouring snow bands over the NE Baltic.
B_phenomena_lake_sea,Ayumi Fujisaki‐Manome,2022.0,"Forecasting lake‐/sea‐effect snowstorms, advancement, and challenges",Wiley Interdisciplinary Reviews Water,10.1002/wat2.1594,11,hybrid,article,False,Ayumi Fujisaki‐Manome; David Wright; Greg Mann; Eric J. Anderson; Philip Chu; Christiane Jablonowski et al.,"Review: forecasting lake-/sea-effect snowstorms, advancements and challenges. Entry point to the whole subfield."
B_phenomena_lake_sea,Anna Rutgersson,2022.0,Natural hazards and extreme events in the Baltic Sea region,Earth System Dynamics,10.5194/esd-13-251-2022,122,gold,article,False,Anna Rutgersson; Erik Kjellström; Jari Haapala; Martin Stendel; Irina Danilovich; Martin Drews et al.,"Rutgersson et al.: natural hazards and extreme events in the Baltic Sea region - the regional hazard review that situates snow bands, surges and ice."
B_phenomena_lake_sea,Kalle Eerola,,A study on effects of lake temperature and ice cover in HIRLAM,venue metadata unreliable in OpenAlex (DOI prefix 10.60910); verify at publisher,10.60910/mc88-ndnz,36,green,article,False,Kalle Eerola; Laura Rontu; Ekaterina Kourzeneva; Ekaterina Shcherbak,"Eerola & Rontu: effects of lake temperature and ice cover in HIRLAM - different LST treatments give different screen-level temperature and ice cover, with local effects near lakes. [METADATA CAUTION: OpenAlex year/venue for this DOI are inconsistent with the work; cite from the publisher record.]"
B_phenomena_lake_sea,Patrick Samuelsson,,The impact of lakes on the European climate as simulated by a regional climate model,venue metadata unreliable in OpenAlex (DOI prefix 10.60910); verify at publisher,10.60910/3pj6-v2hf,146,green,article,False,Patrick Samuelsson; Ekaterina Kourzeneva; Dmitrii Mironov,Samuelsson et al.: impact of lakes on European climate in a regional climate model (RCA + FLake) - quantifies the lake-induced 2 m temperature signal across Europe. [METADATA CAUTION: OpenAlex year/venue for this DOI are inconsistent with the work; cite from the publisher record.]
B_phenomena_uhi,Victoria Miles,2017.0,Seasonal and Spatial Characteristics of Urban Heat Islands (UHIs) in Northern West Siberian Cities,Remote Sensing,10.3390/rs9100989,99,gold,article,False,Victoria Miles; Igor Esau,Miles & Esau: seasonal/spatial UHI characteristics in northern West Siberian cities - first systematic remote-sensing UHI study north of 60N.
B_phenomena_uhi,Mikhail Varentsov,2018.0,Anthropogenic and natural drivers of a strong winter urban heat island in a typical Arctic city,Atmospheric chemistry and physics,10.5194/acp-18-17573-2018,84,gold,article,False,Mikhail Varentsov; Pavel Konstantinov; Alexander Baklanov; Igor Esau; Victoria Miles; Richard Davy,"Varentsov et al.: winter UHI in Apatity (67.567N, 33.393E) - INSIDE the user's box. Warm anomaly up to 11 K, winter mean 1.9 K, at least 50% attributable to UHI driven mostly by direct anthropogenic heating. The quantitative anchor for an urban predictor."
B_phenomena_uhi,Johannes Brozovsky,2020.0,A systematic review of urban climate research in cold and polar climate regions,Renewable and Sustainable Energy Reviews,10.1016/j.rser.2020.110551,56,hybrid,review,False,Johannes Brozovsky; Niki Gaitani; Arild Gustavsen,Brozovsky et al.: systematic review of urban climate research in cold and polar climate regions - shows where the literature is concentrated and where it is absent.
B_phenomena_uhi,Mikhail Varentsov,2020.0,Citizen weather stations data for monitoring applications and urban climate research: an example of Moscow megacity,IOP Conference Series Earth and Environmental Science,10.1088/1755-1315/611/1/012055,8,diamond,conference-paper,False,Mikhail Varentsov; Timofey Samsonov; Pavel Kargashin; P. A. Korosteleva; Alexander Varentsov; A A Perkhurova et al.,"Varentsov et al.: using Netatmo citizen weather stations for urban climate research in Moscow, with an explicit uncertainty evaluation. Directly relevant given the ISD network has no urban density in St Petersburg."
B_phenomena_uhi,Mikhail Varentsov,2020.0,Impact of Urban Canopy Parameters on a Megacity’s Modelled Thermal Environment,Atmosphere,10.3390/atmos11121349,66,gold,article,False,Mikhail Varentsov; Timofey Samsonov; Matthias Demuzere,Varentsov et al.: urban canopy parameters in COSMO/TERRA_URB for Moscow - how much urban ancillary detail actually changes modelled temperature.
B_phenomena_uhi,Mikhail Varentsov,2021.0,Quantifying Local and Mesoscale Drivers of the Urban Heat Island of Moscow with Reference and Crowdsourced Observations,Frontiers in Environmental Science,10.3389/fenvs.2021.716968,48,gold,article,False,Mikhail Varentsov; Daniel Fenner; Fred Meier; Timofey Samsonov; Matthias Demuzere,Varentsov et al.: local and mesoscale drivers of the Moscow UHI using reference AND crowdsourced (Netatmo) stations - the methodological template for getting urban observations without institutional access.
B_phenomena_uhi,Mikhail Varentsov,2022.0,Observations of the urban boundary layer in a cold climate city,Urban Climate,10.1016/j.uclim.2022.101351,31,hybrid,article,False,Mikhail Varentsov; Pavel Konstantinov; Irina Repina; Arseniy Artamonov; A.S. Pechkin; Andrei Soromotin et al.,"Varentsov et al.: urban boundary-layer observations in a cold-climate city (Nadym) - vertical structure, not just screen level."
C_resources_ai,Robert Dunn,2016.0,"Expanding HadISD: quality-controlled, sub-daily station data from 1931","Geoscientific instrumentation, methods and data systems",10.5194/gi-5-473-2016,148,gold,article,False,Robert Dunn; Kate M. Willett; D. E. Parker; Lorna Mitchell,"HadISD: quality-controlled sub-daily station data derived from ISD - the QC pipeline for exactly the archive already in use, and a check on its precipitation gaps."
C_resources_ai,Hanna K. Lappalainen,2016.0,Pan-Eurasian Experiment (PEEX): towards a holistic understanding of the feedbacks and interactions in the land–atmosphere–ocean–society continuum in the northern Eurasian region,Atmospheric chemistry and physics,10.5194/acp-16-14421-2016,76,gold,article,False,Hanna K. Lappalainen; Veli‐Matti Kerminen; Tuukka Petäjä; Theo Kurtén; Alexander Baklanov; А. Shvidenko et al.,"PEEX: Pan-Eurasian Experiment framework - the main open research-infrastructure initiative covering northern Eurasia, and a route to collaborators and data."
C_resources_ai,Richard Cornes,2018.0,An Ensemble Version of the E‐OBS Temperature and Precipitation Data Sets,Journal of Geophysical Research Atmospheres,10.1029/2017jd028200,1913,bronze,article,False,Richard Cornes; Gerard van der Schrier; Else van den Besselaar; P. D. Jones,"E-OBS ensemble version: European gridded daily temperature and precipitation from stations, with explicit uncertainty. Note its station density collapses east of the EU border."
C_resources_ai,Gian-Duri Lieberherr,2018.0,Lake Surface Water Temperature Derived from 35 Years of AVHRR Sensor Data for European Lakes,Remote Sensing,10.3390/rs10070990,62,gold,article,False,Gian-Duri Lieberherr; Stefan Wunderle,"35-year AVHRR lake surface water temperature for European lakes - open satellite LSWT, a way to get Ladoga/Onega surface state without institutional data."
C_resources_ai,Joaquín Muñoz‐Sabater,2021.0,ERA5-Land: a state-of-the-art global reanalysis dataset for land applications,Earth system science data,10.5194/essd-13-4349-2021,5007,gold,article,False,Joaquín Muñoz‐Sabater; Emanuel Dutra; Anna Agustí‐Panareda; Clément Albergel; Gabriele Arduini; Gianpaolo Balsamo et al.,"ERA5-Land: 9 km land reanalysis. Openly licensed, covers the box, and a plausible intermediate predictor field between ERA5 and station scale."
C_resources_ai,Pavel Konstantinov,2022.0,North Eurasian thermal comfort indices dataset (NETCID): new gridded database for the biometeorological studies,Environmental Research Letters,10.1088/1748-9326/ac7fa9,11,gold,article,False,Pavel Konstantinov; Mikhail Varentsov; Natalia Shartova,NETCID: gridded North Eurasian thermal comfort indices - an example of a Russian-domain gridded product built from reanalysis because station data are sparse and restricted.
C_resources_ai,Andrey G. Kostianoy,2022.0,Interannual Variability of Water Level in Two Largest Lakes of Europe,Remote Sensing,10.3390/rs14030659,11,gold,article,False,Andrey G. Kostianoy; С. А. Лебедев; Evgeniia A. Kostianaia; Yaan A. Prokofiev,Kostianoy & Lebedev: interannual water-level variability of Ladoga and Onega (Europe's two largest lakes) from satellite altimetry - open remote-sensing route to lake state.
C_resources_ai,Kerttu Kouki,2023.0,Evaluation of snow cover properties in ERA5 and ERA5-Land with several satellite-based datasets in the Northern Hemisphere in spring 1982–2018,The cryosphere,10.5194/tc-17-5007-2023,65,gold,article,False,Kerttu Kouki; Kari Luojus; Aku Riihelä,Kouki et al.: snow cover properties in ERA5 and ERA5-Land vs satellite datasets - where the snow fields that drive winter surface error are wrong.
C_resources_ai,Zied Ben Bouallègue,2024.0,The Rise of Data-Driven Weather Forecasting: A First Statistical Assessment of Machine Learning–Based Weather Forecasts in an Operational-Like Context,Bulletin of the American Meteorological Society,10.1175/bams-d-23-0162.1,159,bronze,article,False,Zied Ben Bouallègue; Mariana Clare; Linus Magnusson; Estíbaliz Gascón; Michael Maier‐Gerber; Martin Janoušek et al.,Ben Bouallegue et al.: first systematic statistical assessment of ML-based weather forecasts at ECMWF. The verification baseline for any AIFS work.
C_resources_ai,Leonardo Olivetti,2024.0,"Do data-driven models beat numerical models in forecasting weather extremes? A comparison of IFS HRES, Pangu-Weather, and GraphCast",Geoscientific model development,10.5194/gmd-17-7915-2024,26,gold,article,False,Leonardo Olivetti; Gabriele Messori,Olivetti & Messori: do data-driven models beat numerical models for weather extremes? Semi-operational comparison including IFS HRES - directly relevant to whether AIFS is the right base model.
C_resources_ai,Olivier C. Pasche,2024.0,Validating Deep Learning Weather Forecast Models on Recent High-Impact Extreme Events,Artificial Intelligence for the Earth Systems,10.1175/aies-d-24-0033.1,25,closed,article,False,Olivier C. Pasche; Jonathan Wider; Zhongwei Zhang; Jakob Zscheischler; Sebastian Engelke,Pasche et al.: validating deep-learning forecast models on recent high-impact extreme events.
C_resources_ai,Simon Lang,2024.0,AIFS -- ECMWF's data-driven forecasting system,arXiv (preprint),arXiv:2406.01465,,preprint,preprint,False,Simon Lang; Mihai Alexe; Matthew Chantry; Jesper Dramsch; Florian Pinault; Baudouin Raoult et al.,"AIFS - ECMWF's data-driven forecasting system. GNN encoder/decoder with sliding-window transformer processor, trained on ERA5 and ECMWF operational NWP analyses. Read first: this is the base model."
C_resources_ai,Simon Lang,2024.0,AIFS-CRPS: Ensemble forecasting using a model trained with a loss function based on the Continuous Ranked Probability Score,arXiv (preprint),arXiv:2412.15832,,preprint,preprint,False,Simon Lang; Mihai Alexe; Mariana C. A. Clare; Christopher Roberts; Rilwan Adewoyin; Zied Ben Bouallègue et al.,AIFS-CRPS: ensemble variant trained directly on a CRPS-based loss. Relevant because the archive available is the 51-member AIFS ENS.
C_resources_ai,Nikolay Koldunov,2024.0,Emerging AI-based weather prediction models as downscaling tools,arXiv (preprint),arXiv:2406.17977,,preprint,preprint,False,Nikolay Koldunov; Thomas Rackow; Christian Lessig; Sergey Danilov; Suvarchal K. Cheedela; Dmitry Sidorenko et al.,Koldunov et al.: emerging AI-based weather prediction models AS DOWNSCALING TOOLS. The single most directly on-brief preprint - proposes using existing AI-NWP systems for downscaling rather than training from scratch.
C_resources_ai,Muhammad Akhtar Munir,2024.0,Efficient Localized Adaptation of Neural Weather Forecasting: A Case Study in the MENA Region,arXiv (preprint),arXiv:2409.07585,,preprint,preprint,False,Muhammad Akhtar Munir; Fahad Shahbaz Khan; Salman Khan,Munir et al.: efficient LOCALIZED ADAPTATION of neural weather forecasting (MENA case study). Fine-tuning a global neural forecast to one region - the compute-feasible pattern for a 4 GB GPU.
C_resources_ai,Jacob T. Radford,2025.0,A Comparison of AI Weather Prediction and Numerical Weather Prediction Models for 1–7-Day Precipitation Forecasts,Weather and Forecasting,10.1175/waf-d-24-0081.1,16,closed,article,False,Jacob T. Radford; Imme Ebert‐Uphoff; Jebb Q. Stewart,"Radford et al.: AI weather prediction vs NWP for 1-7 day precipitation - the variable the user cannot verify locally, so read for method not for truth data."
C_resources_ai,Gabriel Moldovan,2025.0,An update to ECMWF's machine-learned weather forecast model AIFS,arXiv (preprint),arXiv:2509.18994,,preprint,preprint,False,Gabriel Moldovan; Ewan Pinnington; Ana Prieto Nemesio; Simon Lang; Zied Ben Bouallègue; Jesper Dramsch et al.,"Update to AIFS Single: physical-consistency bounding layers substantially improve PRECIPITATION forecasts, plus expanded variable set. Matters given precipitation is the unverifiable variable locally."
C_resources_ai,Jasper S. Wijnands,2025.0,A comparison of stretched-grid and limited-area modelling for data-driven regional weather forecasting,arXiv (preprint),arXiv:2507.18378,,preprint,preprint,False,Jasper S. Wijnands; Michiel Van Ginderachter; Bastien François; Sophie Buurman; Piet Termonia; Dieter Van den Bleeken,"Wijnands et al.: stretched-grid vs limited-area data-driven regional forecasting with GNNs. The two architectural options for a regional AI model, and their boundary-condition trade-offs."
