theme,authors,year,title,venue,doi,arxiv_id,cited_by_count,is_preprint,is_retracted,n_authors,relevance_note
error_modes,M. J. Rodwell et al.,2025,Power Spectra of Physics‐Based and Data‐Driven Ensembles,Meteorological Applications,10.1002/met.70071,,2,no,no,5,"Rodwell et al., power spectra of physics-based vs data-driven ECMWF ensembles — the spectral diagnostic toolkit, incl. over-dispersion at synoptic scales in physics ensembles."
error_modes,Noah Brenowitz et al.,2025,A Practical Probabilistic Benchmark for AI Weather Models,Geophysical Research Letters,10.1029/2024gl113656,,23,no,no,9,"Brenowitz et al., practical probabilistic benchmark: shows EFFECTIVE RESOLUTION modulates ensemble dispersion — the link between blurring and under-dispersion."
error_modes,Tom Beucler et al.,2025,Distilling Machine Learning’s Added Value: Pareto Fronts in Atmospheric Applications,Artificial Intelligence for the Earth Systems,10.1175/aies-d-24-0078.1,,3,no,no,6,"Beucler et al., Pareto fronts: how to decide whether ML added value is real given cost/complexity. Useful sanity framework for a solo project."
error_modes,Zhongwei Zhang et al.,2025,Numerical models outperform AI weather forecasts of record-breaking extremes,arXiv (Cornell University),,2508.15724,2,yes,no,4,Preprint of the above with the fuller quantitative statement.
error_modes,Andrew Charlton‐Perez et al.,2024,Do AI models produce better weather forecasts than physics-based models? A quantitative evaluation case study of Storm Ciarán,npj Climate and Atmospheric Science,10.1038/s41612-024-00638-w,,67,no,no,11,"Charlton-Perez et al., Storm Ciaran case study: AI models get synoptic structure right but the paper is the standard reference for what they miss at smaller scales."
error_modes,Leonardo Olivetti et al.,2024,"Do data-driven models beat numerical models in forecasting weather extremes? A comparison of IFS HRES, Pangu-Weather, and GraphCast",Geoscientific model development,10.5194/gmd-17-7915-2024,,26,no,no,2,"Olivetti & Messori, GMD: data-driven models mostly beat IFS HRES on global RMSE at 1-10 d for near-surface T and wind extremes, but performance varies strongly by REGION and lead time — best near tropics, weaker elsewhere. Directly relevant to a high-latitude domain."
error_modes,Massimo Bonavita,2024,On Some Limitations of Current Machine Learning Weather Prediction Models,Geophysical Research Letters,10.1029/2023gl107377,,136,no,no,1,"THE key defect paper (Bonavita, GRL 2024): Pangu/FourCastNet/GraphCast fail to reproduce sub-synoptic and mesoscale phenomena; lack physical consistency. This is the gap a downscaling layer fills."
error_modes,Olivier C. Pasche et al.,2024,Validating Deep Learning Weather Forecast Models on Recent High-Impact Extreme Events,Artificial Intelligence for the Earth Systems,10.1175/aies-d-24-0033.1,,25,no,no,5,"Pasche et al., validation of DL forecasts on recent high-impact extremes — case-study-based defect evidence."
error_modes,Zied Ben Bouallègue et al.,2024,The Rise of Data-Driven Weather Forecasting: A First Statistical Assessment of Machine Learning–Based Weather Forecasts in an Operational-Like Context,Bulletin of the American Meteorological Society,10.1175/bams-d-23-0162.1,,159,no,no,17,"ECMWF's own first operational-like statistical assessment of ML forecasts (Ben Bouallegue et al., BAMS). The reference for how AI models behave in operations."
error_modes,Massimo Bonavita,2023,On some limitations of data-driven weather forecasting models,arXiv (Cornell University),,2309.08473,8,yes,no,1,Preprint version of the above; note its conclusion that ML models already add value as post-processing-like tools.
aifs_postproc_downscaling,Aymeric Delefosse et al.,2026,Super-resolving coarse-resolution weather forecasts with flow matching,Environmental Data Science,10.1017/eds.2026.10046,,0,no,no,3,Delefosse et al.: generative super-resolution as a POST-PROCESSING step decoupled from forecasting; re-coarsening consistency check + spectral diagnostics. A clean methodological template.
aifs_postproc_downscaling,Dan Assouline et al.,2026,SwAIther-Precip: Lead-Time-Aware Bias Correction Enables Kilometer-Scale Downscaling of Global AI Precipitation Forecasts over Switzerland,arXiv preprint,,2605.16163,,yes,no,8,SwAIther-Precip: lead-time-aware bias correction + generative super-resolution of AIFS precip to km scale over Switzerland. CRPS -48% vs raw AIFS; effective resolution ~4 km on a 1 km grid; training across lead times gives a further 13% CRPS gain at day 6. The closest existing analogue to your idea.
aifs_postproc_downscaling,Joffrey Dumont Le Brazidec et al.,2026,Downscaling weather forecasts from Low- to High-Resolution with Diffusion Models,arXiv preprint,,2604.03303,,yes,no,12,"Dumont Le Brazidec et al.: diffusion downscaling of IFS ensembles 100 km -> 30 km via residual learning; reproduces target power spectra at small scales, physically consistent wind-pressure coupling."
aifs_postproc_downscaling,Magnus Sikora Ingstad et al.,2026,HourGlass: A probabilistic data-driven temporal downscaler for global and regional weather forecasting,arXiv preprint,,2607.11457,,yes,no,19,HourGlass: probabilistic TEMPORAL downscaler applied to AIFS-Single and AIFS-ENS (and MET Norway's Bris). Notes deterministic temporal downscaling produces overly smooth fields.
aifs_postproc_downscaling,Maria Pyrina et al.,2026,Joint bias correction and downscaling of subseasonal forecasts via diffusion models,Environmental Data Science,10.1017/eds.2026.10047,,0,no,no,5,Pyrina et al.: joint bias correction and downscaling of subseasonal forecasts via diffusion.
aifs_postproc_downscaling,Zeyi Niu et al.,2026,Intelligent Shanghai Typhoon Model (ISTM): A Diffusion‐Based Downscaling Emulator From AIFS to Kilometer‐Scale Regional Reanalysis for Typhoon Forecasts,Journal of Geophysical Research Machine Learning and Computation,10.1029/2025jh001072,,0,no,no,9,ISTM: diffusion downscaling emulator from AIFS to km-scale regional reanalysis; cuts 72-h typhoon intensity error ~39.5% vs AIFS. Proof that AIFS-to-km-scale generative downscaling works.
aifs_postproc_downscaling,Belinda Trotta et al.,2025,Statistical Postprocessing Yields Accurate Probabilistic Forecasts from Artificial Intelligence Weather Models,Artificial Intelligence for the Earth Systems,10.1175/aies-d-25-0037.1,,1,no,no,10,"MOST IMPORTANT FOR YOU. Trotta et al.: applies an EXISTING NWP postprocessing system (IMPROVER) unchanged to AIFS; gets comparable gains to those on HRES/ENS, and blending AIFS with NWP beats either. Direct precedent for your project."
aifs_postproc_downscaling,Pan Liujie et al.,2025,Comparative Analysis of Precipitation Forecasts between the ECMWF Artificial Intelligence System (AIFS) and Its Integrated Forecast System (IFS),Weather and Forecasting,10.1175/waf-d-24-0227.1,,7,no,no,7,Direct AIFS vs IFS precipitation comparison — the AIFS-specific verification you need before choosing a target variable.
regional_ai_models,Even Marius Nordhagen et al.,2025,High-Resolution Probabilistic Data-Driven Weather Modeling with a Stretched-Grid,arXiv preprint,,2511.23043,,yes,no,12,"Nordhagen et al.: probabilistic stretched-grid Nordic model, CRPS-trained in grid-point AND SPECTRAL space. Spectral loss term is NECESSARY for spatially coherent fields; -13% CRPS on 2 m T and -10% on MSLP vs MEPS. Read for the loss-function lesson."
regional_ai_models,Jasper S. Wijnands et al.,2025,A comparison of stretched-grid and limited-area modelling for data-driven regional weather forecasting,arXiv preprint,,2507.18378,,yes,no,6,Wijnands et al.: head-to-head of stretched-grid vs limited-area for regional data-driven forecasting over Europe; SGM is self-contained and generalises better temporally.
regional_ai_models,Jorge Baño-Medina et al.,2025,A regional high resolution AI weather model for the prediction of atmospheric rivers and extreme precipitation,npj Climate and Atmospheric Science,10.1038/s41612-025-01265-9,,3,no,no,8,Bano-Medina et al.: regional stretched-grid AI model at 6 km over western US; captures extreme precipitation that coarse global models underestimate.
regional_ai_models,Pengbo Xu et al.,2025,An artificial intelligence-based limited area model for forecasting of surface meteorological variables,Communications Earth & Environment,10.1038/s43247-025-02347-5,,12,no,no,12,Xu et al.: AI-based limited-area model specifically for SURFACE meteorological variables.
regional_ai_models,Simon Adamov et al.,2025,Building Machine Learning Limited Area Models: Kilometer-Scale Weather Forecasting in Realistic Settings,arXiv preprint,,2504.09340,,yes,no,11,Adamov et al.: kilometre-scale ML limited-area models with flexible boundary forcing; systematic ablation of boundary width and graph construction; verified against stations.
regional_ai_models,Thomas Nils Nipen et al.,2024,Regional data-driven weather modeling with a global stretched-grid,arXiv preprint,,2409.02891,,yes,no,14,"Nipen et al.: STRETCHED-GRID extension of AIFS itself — 2.5 km over the Nordics, 31 km globally; pre-trained on 43 yr ERA5 then refined on 3.3 yr MEPS analyses; beats MEPS control and ensemble mean for 2 m temperature. The most directly transferable design for NW Russia."
regional_ai_models,Joel Oskarsson et al.,2023,Graph-based Neural Weather Prediction for Limited Area Modeling,arXiv (Cornell University),,2309.17370,7,yes,no,3,"Oskarsson et al., Neural-LAM — the original graph-based limited-area formulation and open codebase."
postproc_methods,David Landry et al.,2026,STIPP: Space-time in situ postprocessing over the French Alps using proper scoring rules,arXiv preprint,,2601.02882,,yes,no,5,STIPP: space-time in-situ postprocessing at STATION locations using proper scoring rules; makes hourly ensembles from a 6-hourly deterministic forecast. Closest method template to your station-level task.
postproc_methods,Zied Ben-Bouallegue et al.,2026,SEEPS4ALL: an open dataset for the verification of daily precipitation forecasts using station climate statistics,Earth system science data,10.5194/essd-18-713-2026,,0,no,no,6,SEEPS4ALL: open dataset for verifying daily precipitation forecasts using station data — relevant given ISD-Lite precip is empty.
postproc_methods,Marieke Wesselkamp et al.,2025,"Advances in land surface forecasting: a comparison of LSTM, gradient boosting, and feed-forward neural networks as prognostic state emulators in a case study with ecLand",Geoscientific model development,10.5194/gmd-18-921-2025,,11,no,no,10,Wesselkamp et al.: LSTM vs gradient boosting vs MLP as ecLand land-surface emulators. Relevant because your box is snow/boreal-surface dominated and because it benchmarks exactly the model classes your hardware supports.
postproc_methods,Peter Manshausen et al.,2025,Generative Data Assimilation of Sparse Weather Station Observations at Kilometer Scales,Journal of Advances in Modeling Earth Systems,10.1029/2024ms004505,,10,no,no,10,Manshausen et al.: generative data assimilation of SPARSE weather station observations at km scale; 10% lower RMSE on held-out stations. Note the caveat of insufficiently dispersive ensembles.
postproc_methods,Neelesh Rampal et al.,2024,Enhancing Regional Climate Downscaling through Advances in Machine Learning,Artificial Intelligence for the Earth Systems,10.1175/aies-d-23-0066.1,,63,no,no,10,Enhancing regional climate downscaling through advances in ML — bridges the climate-downscaling and NWP-postprocessing literatures.
postproc_methods,Jonathan Demaeyer et al.,2023,The EUPPBench postprocessing benchmark dataset v1.0,Earth system science data,10.5194/essd-15-2635-2023,,25,no,no,20,"EUPPBench: a European postprocessing BENCHMARK dataset — station-based, directly comparable in spirit to your ISD-Lite setup."
postproc_methods,Peter Grönquist et al.,2021,Deep learning for post-processing ensemble weather forecasts,Philosophical Transactions of the Royal Society A Mathematical Physical and Engineering Sciences,10.1098/rsta.2020.0092,,201,no,no,7,Groenquist et al.: deep learning for postprocessing ensemble forecasts.
postproc_methods,Stéphane Vannitsem et al.,2020,"Statistical Postprocessing for Weather Forecasts: Review, Challenges, and Avenues in a Big Data World",Bulletin of the American Meteorological Society,10.1175/bams-d-19-0308.1,,198,no,no,24,"Vannitsem et al., BAMS: the standard review of statistical postprocessing. Read before choosing a method."
postproc_methods,Yingkai Sha et al.,2020,Deep-Learning-Based Gridded Downscaling of Surface Meteorological Variables in Complex Terrain. Part I: Daily Maximum and Minimum 2-m Temperature,Journal of Applied Meteorology and Climatology,10.1175/jamc-d-20-0057.1,,148,no,no,4,Sha et al.: deep-learning gridded downscaling of Tmax/Tmin in COMPLEX TERRAIN — the elevation/representativeness problem you already measured.
postproc_methods,Stephan Rasp et al.,2018,Neural Networks for Postprocessing Ensemble Weather Forecasts,Monthly Weather Review,10.1175/mwr-d-18-0187.1,,529,no,no,2,"Rasp & Lerch: distributional regression networks (DRN) for postprocessing ensembles — the workhorse baseline you should implement first. Highly cited, simple, runs on your hardware."
