doi,arxiv_id,authors,year,title,venue,cited_by_count,is_preprint,relevance_note
10.5194/gmd-13-2109-2020,,Jorge Baño‐Medina et al.,2020,Configuration and intercomparison of deep learning neural models for statistical downscaling,Geoscientific model development,266.0,False,"Benchmark CNN-vs-GLM intercomparison for downscaling over Europe inside the VALUE framework, using 'perfect' reanalysis predictors. The reference configuration study; read for how a defensible DL downscaling validation is set up."
10.1175/jamc-d-20-0057.1,,Yingkai Sha et al.,2020,Deep-Learning-Based Gridded Downscaling of Surface Meteorological Variables in Complex Terrain. Part I: Daily Maximum and Minimum 2-m Temperature,Journal of Applied Meteorology and Climatology,148.0,False,U-Net gridded downscaling of daily max/min 2-m temperature in complex terrain. One of the few grid-to-grid DL papers targeting temperature rather than precipitation.
10.1175/jamc-d-20-0058.1,,Yingkai Sha et al.,2020,Deep-Learning-Based Gridded Downscaling of Surface Meteorological Variables in Complex Terrain. Part II: Daily Precipitation,Journal of Applied Meteorology and Climatology,131.0,False,Companion Part II for daily precipitation.
10.1002/met.1961,,Kevin Höhlein et al.,2020,A comparative study of convolutional neural network models for wind field downscaling,Meteorological Applications,106.0,False,"CNN/U-Net (DeepRU) downscaling of short-range 100-m WIND forecasts from ERA5 31 km to HRES 9 km, with static high-res predictors (topography, land-sea mask, roughness). Closest architectural template for a wind-focused, forecast-applied, modest-resolution-jump task."
10.1175/bams-d-19-0308.1,,Stéphane Vannitsem et al.,2020,"Statistical Postprocessing for Weather Forecasts: Review, Challenges, and Avenues in a Big Data World",Bulletin of the American Meteorological Society,198.0,False,"Community review of statistical postprocessing for weather forecasts. This is the MOS-framing review the user actually needs, as distinct from the climate downscaling literature."
10.1109/tgrs.2020.3032790,,Jussi Leinonen et al.,2020,Stochastic Super-Resolution for Downscaling Time-Evolving Atmospheric Fields With a Generative Adversarial Network,IEEE Transactions on Geoscience and Remote Sensing,186.0,False,"Recurrent stochastic super-resolution GAN generating ensembles of time-evolving high-resolution fields (Swiss radar precipitation, GOES-16 cloud optical thickness), evaluated with rank statistics. The origin of stochastic SR in this field."
10.1073/pnas.1918964117,,Karen Stengel et al.,2020,Adversarial super-resolution of climatological wind and solar data,Proceedings of the National Academy of Sciences,292.0,False,Adversarial super-resolution of climatological wind and solar fields; the highly cited GAN-SR reference outside precipitation.
10.1007/s00382-021-05847-0,,Jorge Baño‐Medina et al.,2021,On the suitability of deep convolutional neural networks for continental-wide downscaling of climate change projections,Climate Dynamics,81.0,False,Companion to the above: takes the same CNNs from reanalysis predictors to GCM predictors and tests the two key assumptions explicitly. This is the perfect-prognosis assumption being stress-tested.
10.1029/2020wr029308,,Fang Wang et al.,2021,Deep Learning for Daily Precipitation and Temperature Downscaling,Water Resources Research,226.0,False,Widely cited DL downscaling of daily precipitation and temperature; general background.
10.1038/s41586-021-03854-z,,Suman Ravuri et al.,2021,Skilful precipitation nowcasting using deep generative models of radar,Nature,959.0,False,Deep generative radar nowcasting; states explicitly that unconstrained deterministic deep learning produces blurry forecasts at longer lead times with poor performance on heavier rain. The clearest published statement of the MSE-blurring failure mode.
10.1175/mwr-d-21-0150.1,,Benedikt Schulz et al.,2021,Machine learning methods for postprocessing ensemble forecasts of wind gusts: A systematic comparison,Monthly Weather Review,111.0,False,"Systematic comparison of eight statistical and ML postprocessing methods for wind gusts (EMOS, member-by-member, isotonic distributional regression, gradient-boosted EMOS, quantile regression forests, distributional regression network, Bernstein quantile network, histogram estimation network). The benchmark ladder to reproduce before attempting anything generative."
10.1007/s00382-022-06343-9,,Antoine Doury et al.,2022,Regional climate model emulator based on deep learning: concept and first evaluation of a novel hybrid downscaling approach,Climate Dynamics,75.0,False,RCM emulator via neural network: learns the RCM's own downscaling function for near-surface temperature. The emulator framing that makes the perfect/imperfect distinction concrete.
10.1029/2022ms003120,,Lucy Harris et al.,2022,A Generative Deep Learning Approach to Stochastic Downscaling of Precipitation Forecasts,Journal of Advances in Modeling Earth Systems,194.0,False,"Extends the stochastic GAN from reconstruction of coarsened fields to the harder problem of increasing accuracy AND resolution of actual low-resolution forecast-model input, with high-resolution radar as truth. This is the MOS-framing generative downscaling paper."
10.1038/s42256-022-00540-1,,Philipp Hess et al.,2022,Physically constrained generative adversarial networks for improving precipitation fields from Earth system models,Nature Machine Intelligence,81.0,False,Physically constrained GAN for improving ESM precipitation fields; the constraint-injection approach to keeping generative output physical.
10.1175/aies-d-22-0018.1,,Ophélia Miralles et al.,2022,Downscaling of Historical Wind Fields over Switzerland Using Generative Adversarial Networks,Artificial Intelligence for the Earth Systems,29.0,False,GAN downscaling of historical WIND fields over Switzerland. Wind-specific generative downscaling in complex terrain.
10.1038/s41597-023-02805-9,,Hai Lin et al.,2023,Deep learning downscaled high-resolution daily near surface meteorological datasets over East Asia,Scientific Data,46.0,False,U-Net downscaling producing a nine-variable 0.1 deg dataset over East Asia from CMIP6 + MSWX. Example of the bias-correct-then-U-Net production pipeline.
10.1029/2022ms003593,,Marijn van der Meer et al.,2023,Deep Learning Regional Climate Model Emulators: A Comparison of Two Downscaling Training Frameworks,Journal of Advances in Modeling Earth Systems,48.0,False,CRITICAL for framing. Directly compares a 'perfect model' training framework (upscaled RCM predictors) against an 'imperfect' one (actual GCM predictors). The perfect-framework emulator scored well on upscaled data but propagated GCM-RCM inconsistencies and underestimated when driven by real GCM output. This is the formal demonstration that skill measured in the perfect setting does not transfer.
10.1029/2023ms003641,,José González-Abad et al.,2023,Using Explainability to Inform Statistical Downscaling Based on Deep Learning Beyond Standard Validation Approaches,Journal of Advances in Modeling Earth Systems,34.0,False,"Explainability-based evaluation of perfect-prognosis DL downscaling models, arguing standard validation is insufficient and introducing saliency diagnostics. Read for why held-out RMSE is not enough."
10.1029/2022ef003291,,Sanaa Hobeichi et al.,2023,Using Machine Learning to Cut the Cost of Dynamical Downscaling,Earth s Future,53.0,False,ML as a cheaper substitute for dynamical downscaling; framing of cost-vs-skill tradeoff.
10.1175/aies-d-23-0070.1,,Kevin Höhlein et al.,2023,Postprocessing of Ensemble Weather Forecasts Using Permutation-Invariant Neural Networks,Artificial Intelligence for the Earth Systems,18.0,False,"Permutation-invariant networks that consume the raw ensemble as an unordered set rather than summary statistics, for temperature and wind gusts. The right architecture for 51 exchangeable AIFS-ENS members."
10.1038/s41586-023-06185-3,,Kaifeng Bi et al.,2023,Accurate medium-range global weather forecasting with 3D neural networks,Nature,1543.0,False,Pangu-Weather; background on the deterministic AI-forecasting baseline that downscaling work is layered onto.
10.5194/gmd-17-229-2024,,Pedro M. M. Soares et al.,2024,High-resolution downscaling of CMIP6 Earth system and global climate models using deep learning for Iberia,Geoscientific model development,42.0,False,Four CNN architectures downscaling seven CMIP6 models to 0.1 deg over Iberia. Useful for architecture-choice evidence at a regional scale.
10.1175/aies-d-23-0066.1,,Neelesh Rampal et al.,2024,Enhancing Regional Climate Downscaling through Advances in Machine Learning,Artificial Intelligence for the Earth Systems,63.0,False,Review of ML advances for regional climate downscaling. Best single orientation review for the DL downscaling field.
10.1175/bams-d-23-0162.1,,Zied Ben Bouallègue et al.,2024,The Rise of Data-Driven Weather Forecasting: A First Statistical Assessment of Machine Learning–Based Weather Forecasts in an Operational-Like Context,Bulletin of the American Meteorological Society,159.0,False,First systematic statistical assessment of data-driven forecasts in an operational-like context at ECMWF. Establishes what baseline AI-model skill looks like before any downscaling.
10.1038/s41612-024-00638-w,,Andrew Charlton‐Perez et al.,2024,Do AI models produce better weather forecasts than physics-based models? A quantitative evaluation case study of Storm Ciarán,npj Climate and Atmospheric Science,67.0,False,Case-study evaluation of four ML models on a European windstorm: synoptic structure well captured. Relevant to whether AI forecasts are a sound base for regional downscaling.
10.1038/s41586-024-08252-9,,Ilan Price et al.,2024,Probabilistic weather forecasting with machine learning,Nature,355.0,False,GenCast: diffusion-based probabilistic medium-range forecasting. The reference for generative ensembles at global scale.
10.1126/sciadv.adk4489,,Lizao Li et al.,2024,Generative emulation of weather forecast ensembles with diffusion models,Science Advances,88.0,False,Generative diffusion emulation of forecast ensembles (SEEDS); cheap ensemble augmentation from few members.
10.1029/2024gl112492,,Neelesh Rampal et al.,2024,On the Extrapolation of Generative Adversarial Networks for Downscaling Precipitation Extremes in Warmer Climates,Geophysical Research Letters,10.0,False,"Quantifies the generative-vs-deterministic gap for extremes under extrapolation: for 99.5th-percentile precipitation, a GAN trained on future climate recovered 97% of the warming-driven increase versus 65% for the deterministic CNN baseline, and a historically trained GAN still recovered 77%. The strongest single number for 'generative beats MSE on the tails'."
10.1609/aaai.v38i20.30193,,Thomas Bailie et al.,2024,Quantile-Regression-Ensemble: A Deep Learning Algorithm for Downscaling Extreme Precipitation,Proceedings of the AAAI Conference on Artificial Intelligence,10.0,False,Quantile-regression ensemble for downscaling extreme precipitation; a cheaper alternative to adversarial training for tail calibration.
10.1029/2024gl113656,,Noah Brenowitz et al.,2025,A Practical Probabilistic Benchmark for AI Weather Models,Geophysical Research Letters,23.0,False,Lagged-ensemble probabilistic benchmark for AI weather models; shows deterministic scores rank models differently from probabilistic skill. Cautionary for how to score a downscaling system.
10.5194/gmd-18-5575-2025,,Ankur Mahesh et al.,2025,Huge ensembles – Part 1: Design of ensemble weather forecasts using spherical Fourier neural operators,Geoscientific model development,10.0,False,Huge ensembles with spherical Fourier neural operators; design considerations for very large ML ensembles.
10.1002/met.70071,,M. J. Rodwell et al.,2025,Power Spectra of Physics‐Based and Data‐Driven Ensembles,Meteorological Applications,2.0,False,"Power spectra of physics-based and data-driven ECMWF ensembles, including where spread and error diverge by scale. The diagnostic framework for the variance-deficit question."
10.1029/2024ms004668,,Neelesh Rampal et al.,2025,A Reliable Generative Adversarial Network Approach for Climate Downscaling and Weather Generation,Journal of Advances in Modeling Earth Systems,31.0,False,"A GAN design aimed at reliability (calibrated ensembles) rather than only sharpness, for downscaling and weather generation."
10.1175/aies-d-24-0074.1,,Marcello Iotti et al.,2025,RainScaleGAN: A Conditional Generative Adversarial Network for Rainfall Downscaling,Artificial Intelligence for the Earth Systems,2.0,False,"RainScaleGAN, conditional GAN for rainfall downscaling."
10.1038/s43247-025-02042-5,,Morteza Mardani et al.,2025,Residual corrective diffusion modeling for km-scale atmospheric downscaling,Communications Earth & Environment,68.0,False,"CorrDiff journal version: two-step design where a U-Net predicts the conditional mean and a corrector diffusion model predicts the residual, mapping 25 km global reanalysis to 2 km regional-model output over Taiwan; recovers power-law spectra that deterministic regression loses. The reference architecture for corrective diffusion."
10.5194/gmd-18-2051-2025,,Elena Tomasi et al.,2025,Can AI be enabled to perform dynamical downscaling? A latent diffusion model to mimic kilometer-scale COSMO5.0_CLM9 simulations,Geoscientific model development,21.0,False,"Latent diffusion model downscaling ERA5 to 2 km over Italy for 2-m temperature and 10-m wind components, targeting COSMO-CLM output, built as a residual on a U-Net reference. The most transferable diffusion setup for the user's variables (temperature and wind, not precipitation)."
10.1073/pnas.2420288122,,Ignacio Lopez‐Gomez et al.,2025,Dynamical-generative downscaling of climate model ensembles,Proceedings of the National Academy of Sciences,46.0,False,Dynamical-generative downscaling of climate model ensembles; the hybrid framing where a dynamical step is followed by a generative step.
10.1038/s41612-025-01103-y,,Luca Glawion et al.,2025,Global spatio-temporal ERA5 precipitation downscaling to km and sub-hourly scale using generative AI,npj Climate and Atmospheric Science,12.0,False,"spateGAN-ERA5: ERA5 precipitation from 24 km/1 h to 2 km/10 min globally, trained solely on German data and validated elsewhere. Evidence on how far a regionally trained generative model transfers."
10.1038/s43247-025-02347-5,,Pengbo Xu et al.,2025,An artificial intelligence-based limited area model for forecasting of surface meteorological variables,Communications Earth & Environment,12.0,False,AI-based limited-area model forecasting surface meteorological variables; the regional AI-LAM alternative to post-hoc downscaling.
10.5194/hess-29-45-2025,,Rasmus Benestad et al.,2025,Downscaling the probability of heavy rainfall over the Nordic countries,Hydrology and earth system sciences,7.0,False,"The only northern-European statistical downscaling paper retrieved: empirical-statistical downscaling of heavy-rainfall probability and IDF curves over the Nordic countries. Nearest-region precedent, but not deep learning and precipitation-focused."
10.1007/s00704-026-06120-2,,Stylianos Hadjipetrou,2026,A review of statistical methods for climate downscaling: the underexplored potential of geostatistical simulation,Theoretical and Applied Climatology,3.0,False,Recent review of statistical downscaling with emphasis on stochastic/geostatistical simulation. Useful counterweight to the DL-only literature.
10.1038/s44387-026-00073-7,,Simon Lang et al.,2026,AIFS-CRPS: ensemble forecasting using a model trained with a loss function based on the continuous ranked probability score,npj Artificial Intelligence,11.0,False,"AIFS-CRPS journal version: an AIFS ensemble variant trained with the almost-fair CRPS, stochastic, outperforming the IFS ensemble for most variables and lead times. Read this to understand what the user's AIFS ENS input actually is."
10.1038/s41612-026-01380-1,,Hisu Kim et al.,2026,A spectral test of the butterfly effect and physical consistency in the diffusion-based GenCast’s ensembles,npj Climate and Atmospheric Science,2.0,False,Spectral test of error growth and physical consistency in GenCast ensembles. Method for checking whether a generative ensemble's fine-scale variability is physically meaningful rather than cosmetic.
10.5194/gmd-19-1791-2026,,Michael Aich et al.,2026,Conditional diffusion models for downscaling and bias correction of Earth system model precipitation,Geoscientific model development,2.0,False,"Conditional diffusion performing bias correction and downscaling jointly, trained on observations only via a shared embedding space. Relevant because the user has only station observations as truth."
10.1029/2025jh000941,,Chugang Yi et al.,2026,Efficient Kilometer‐Scale Precipitation Downscaling With Conditional Wavelet Diffusion,Journal of Geophysical Research Machine Learning and Computation,0.0,False,Wavelet-domain conditional diffusion achieving 10x precipitation super-resolution to 1 km with a reported 9x inference speedup over pixel-space diffusion. Read for the efficiency trick if diffusion is attempted on limited hardware.
10.48550/arxiv.2203.12297,2203.12297,Ilan Price et al.,2022,Increasing the accuracy and resolution of precipitation forecasts using deep generative models,arXiv (Cornell University),39.0,True,CorrectorGAN: simultaneous bias correction and super-resolution of global ensemble forecasts over CONUS with radar as ground truth. Preprint; the correct-then-downscale two-stage idea in early form.
,2210.12504,James Duncan et al.,2022,Generative Modeling of High-resolution Global Precipitation Forecasts,arXiv preprint,,True,Generative modelling of high-resolution global precipitation forecasts. Preprint; companion to CorrectorGAN.
,2312.06071,Prakhar Srivastava et al.,2023,Precipitation Downscaling with Spatiotemporal Video Diffusion,arXiv preprint,,True,"Spatiotemporal video diffusion for precipitation super-resolution with a deterministic downscaler followed by a temporally conditioned diffusion stage, compared against six baselines on FV3GFS. Preprint; argues explicitly that the conditional distribution, not the mean, is what matters."
,2309.15214,Morteza Mardani et al.,2023,Residual Corrective Diffusion Modeling for Km-scale Atmospheric Downscaling,arXiv preprint,,True,CorrDiff preprint version (journal version doi:10.1038/s43247-025-02042-5). Cite the journal version; preprint listed for completeness.
10.48550/arxiv.2412.15832,2412.15832,Simon Lang et al.,2024,AIFS-CRPS: Ensemble forecasting using a model trained with a loss function based on the Continuous Ranked Probability Score,arXiv (Cornell University),9.0,True,Preprint version of AIFS-CRPS.
,2406.17977,Nikolay Koldunov et al.,2024,Emerging AI-based weather prediction models as downscaling tools,arXiv preprint,,True,"Uses existing AI-NWP models themselves as downscaling operators, initialised from smoothed ERA5 and coarse CMIP6 fields at one-day lead, for 2-m temperature. An unusual and cheap alternative framing. Preprint."
,2412.13627,Rahul Sundar et al.,2024,TAUDiff: Highly efficient kilometer-scale downscaling using generative diffusion models,arXiv preprint,,True,"TAUDiff: names spectral bias in deterministic regression downscaling as the problem and pairs a deterministic mean-field model with a SMALLER generative diffusion model for the fine-scale residual, for wind velocity. Preprint; the efficiency-minded version of corrective diffusion."
,2409.07585,Muhammad Akhtar Munir et al.,2024,Efficient Localized Adaptation of Neural Weather Forecasting: A Case Study in the MENA Region,arXiv preprint,,True,"Localised adaptation of a neural weather model for a specific region (MENA). Preprint; the fine-tuning-a-global-model-for-one-region pattern, which is the compute-feasible route."
,2501.19374,Christopher Subich et al.,2025,Fixing the Double Penalty in Data-Driven Weather Forecasting Through a Modified Spherical Harmonic Loss Function,arXiv preprint,,True,"Shows that the MSE loss used by most data-driven forecast models causes double-penalty smoothing, and that a parameter-free spherical-harmonic loss modification, applied by FINE-TUNING GraphCast, raised effective resolution from 1250 km to 160 km with better ensemble spread and better surface wind extremes. The cleanest quantification of MSE-induced smoothing, and a fine-tuning-scale intervention."
,2510.13722,Carlo Saccardi et al.,2025,Assessing the Geographic Generalization and Physical Consistency of Generative Models for Climate Downscaling,arXiv preprint,,True,"CRITICAL NEGATIVE RESULT. Benchmarks generative downscaling models with physics-inspired diagnostics and finds that CorrDiff-class models trained on central Europe fail to generalise to Iberia, Morocco or SCANDINAVIA, and fail to reproduce derived second-order fields such as divergence and vorticity. Preprint; the strongest published warning against importing a pretrained generative downscaler into northwest Russia."
,2512.014,Paula Harder et al.,2025,On Global Applicability and Location Transferability of Generative Deep Learning Models for Precipitation Downscaling,arXiv preprint,,True,"Systematic assessment of generative precipitation-downscaling generalisation across 15 world regions using a hierarchical location-based split, with ERA5 predictors and IMERG 0.1 deg targets. Preprint; the companion transferability study."
,2510.09484,Erik Larsson et al.,2025,CRPS-LAM: Probabilistic Regional Weather Forecasting with Continuous Ranked Probability Score,arXiv preprint,,True,"CRPS-LAM: hybrid CNN/GNN regional ensemble model trained on a CRPS objective, generating members in a single forward pass with roughly 39x speedup over diffusion baselines. Preprint; the compute-efficient alternative to diffusion for probabilistic regional output."
,2509.18994,Gabriel Moldovan et al.,2025,An update to ECMWF's machine-learned weather forecast model AIFS,arXiv preprint,,True,"AIFS update introducing physical-consistency bounding layers that substantially improve precipitation, operational at ECMWF since 25 February 2025. Preprint; needed to know which AIFS version an archive corresponds to."
,2512.01400,Paula Harder et al.,2025,On Global Applicability and Location Transferability of Generative Deep Learning Models for Precipitation Downscaling,arXiv preprint,,True,"Systematic assessment of generative precipitation-downscaling generalisation across 15 world regions with a hierarchical location-based split (ERA5 predictors, IMERG 0.1 deg targets). Preprint; the transferability companion to arXiv:2510.13722."
,2605.16163,Dan Assouline et al.,2026,SwAIther-Precip: Lead-Time-Aware Bias Correction Enables Kilometer-Scale Downscaling of Global AI Precipitation Forecasts over Switzerland,arXiv preprint,,True,"MOST RELEVANT PAPER IN THIS TRACK. SwAIther-Precip downscales AIFS precipitation forecasts to km scale over Switzerland with an explicitly lead-time-aware design: a U-Net conditioned on lead time via feature-wise linear modulation first corrects systematic bias at coarse resolution, which then permits a cheaper super-resolution stage conditioned only on corrected precipitation and trained DIRECTLY ON OBSERVATIONS rather than on the full atmospheric state. Preprint 2026."
,2603.12828,You Wu et al.,2026,From AI Weather Prediction to Infrastructure Resilience: A Real-Time Correction-Downscaling Framework for Tropical Cyclone Impact Forecasting,arXiv preprint,,True,"Real-time correction-plus-downscaling of AI forecasts to 500 m wind fields for typhoon impact, reporting a 38.8% reduction in station-scale wind-speed MAE relative to Pangu-Weather and roughly 25 s per 12-h cycle on a SINGLE GPU. The clearest evidence that a correct-then-downscale pipeline is feasible on modest hardware. Preprint 2026."
,2604.16238,Hannah Guan et al.,2026,Enhancing AI and Dynamical Subseasonal Forecasts with Probabilistic Bias Correction,arXiv preprint,,True,"Probabilistic bias correction applied to ECMWF's leading dynamical and AI models, reported to double AIFS subseasonal skill. Preprint 2026; relevant as the pure-postprocessing upper bound."
,2602.18646,Yingkai Sha et al.,2026,AI-Based Regional Emulation for Kilometer-Scale Dynamical Downscaling,arXiv preprint,,True,"AI limited-area emulator trained on ERA5 0.25 deg 3-hourly forcings against 4 km hourly CONUS404, generalising to a 1.0 deg non-ERA5 forcing. Preprint; shows what a full AI dynamical-downscaling emulator costs and requires."
