doi,arxiv_id,authors,year,title,venue,cited_by_count,is_preprint,relevance_note
10.1175/waf989.1,,Ian T. Jolliffe,2007,Uncertainty and Inference for Verification Measures,Weather and Forecasting,119,no,Uncertainty and inference for verification measures; block/bootstrap approaches for correlated verification samples.
10.1175/waf966.1,,Jochen Bröcker et al.,2007,Scoring Probabilistic Forecasts: The Importance of Being Proper,Weather and Forecasting,200,no,Accessible meteorological argument for propriety; shows how improper scores reward hedging.
10.1198/016214506000001437,,Tilmann Gneiting et al.,2007,"Strictly Proper Scoring Rules, Prediction, and Estimation",Journal of the American Statistical Association,5659,no,"Strictly proper scoring rules; the foundational reference. Defines propriety, CRPS, energy score, and why improper scores can be hedged."
10.1111/j.1467-9868.2007.00587.x,,Tilmann Gneiting et al.,2007,"Probabilistic Forecasts, Calibration and Sharpness",Journal of the Royal Statistical Society Series B (Statistical Methodology),1788,no,The calibration-and-sharpness paradigm: maximise sharpness subject to calibration. The organising principle for the whole evaluation.
10.1002/met.52,,Barbara Casati et al.,2008,Forecast verification: current status and future directions,Meteorological Applications,304,no,Survey of forecast verification status and future directions; useful map of the sub-field's method families.
10.1002/met.45,,Christopher A. T. Ferro et al.,2008,On the effect of ensemble size on the discrete and continuous ranked probability scores,Meteorological Applications,179,no,Quantifies the finite-ensemble bias in CRPS/RPS and gives the correction; the paper that made ensemble-size fairness explicit.
10.1002/met.25,,Elizabeth E. Ebert,2008,Fuzzy verification of high‐resolution gridded forecasts: a review and proposed framework,Meteorological Applications,488,no,Fuzzy/neighbourhood verification of high-resolution gridded forecasts: the review that systematised the neighbourhood family and proposed a framework.
10.1002/met.57,,Nigel Roberts,2008,Assessing the spatial and temporal variation in the skill of precipitation forecasts from an NWP model,Meteorological Applications,207,no,Assessing spatial and temporal variation in the skill of precipitation forecasts; complements the FSS work with skilful-scale variability.
10.1175/2007mwr2123.1,,Nigel Roberts et al.,2008,Scale-Selective Verification of Rainfall Accumulations from High-Resolution Forecasts of Convective Events,Monthly Weather Review,1377,no,"Scale-selective verification: the FSS and skilful-scale concept, the standard neighbourhood answer to the double penalty."
10.1002/met.51,,Simon J. Mason,2008,Understanding forecast verification statistics,Meteorological Applications,88,no,Practitioner's guide to interpreting verification statistics and their sampling behaviour.
10.1175/2009waf2222269.1,,Eric Gilleland et al.,2009,Intercomparison of Spatial Forecast Verification Methods,Weather and Forecasting,469,no,ICP overview paper: the spatial verification method intercomparison project and its findings.
10.1175/2010mwr3129.1,,Caren Marzban et al.,2010,On the Effect of Correlations on Rank Histograms: Reliability of Temperature and Wind Speed Forecasts from Finescale Ensemble Reforecasts,Monthly Weather Review,34,no,Spatial/temporal correlation distorts rank histograms; a U-shape can appear without genuine underdispersion.
10.1002/qj.656,,M. J. Rodwell et al.,2010,A new equitable score suitable for verifying precipitation in numerical weather prediction,Quarterly Journal of the Royal Meteorological Society,98,no,SEEPS: an equitable categorical score designed specifically to discourage hedging/smoothing in precipitation forecasts.
10.1175/2010mwr3305.1,,A. Allen Bradley et al.,2011,Summary Verification Measures and Their Interpretation for Ensemble Forecasts,Monthly Weather Review,59,no,Interpretation of summary ensemble verification measures and their decompositions.
10.1002/met.296,,Marion Mittermaier et al.,2011,A long‐term assessment of precipitation forecast skill using the Fractions Skill Score,Meteorological Applications,143,no,Long-term FSS assessment showing how skilful scale evolves; practical guidance on neighbourhood sizes.
10.1198/jasa.2011.r10138,,Tilmann Gneiting,2011,Making and Evaluating Point Forecasts,Journal of the American Statistical Association,1198,no,Point forecasts require consistent scoring functions and a pre-declared functional; explains why 'RMSE or MAE?' is not a free choice.
10.1002/qj.1924,,Christopher A. T. Ferro et al.,2012,A bias‐corrected decomposition of the Brier score,Quarterly Journal of the Royal Meteorological Society,44,no,Bias-corrected decomposition of the Brier score for finite ensembles.
10.1175/jcli-d-11-00687.1,,José Manuel Gutiérrez et al.,2012,Reassessing Statistical Downscaling Techniques for Their Robust Application under Climate Change Conditions,Journal of Climate,210,no,Quantile mapping inflates trends / distorts variance; a classic caution on naive distribution mapping.
10.1002/qj.2270,,Christopher A. T. Ferro,2013,Fair scores for ensemble forecasts,Quarterly Journal of the Royal Meteorological Society,121,no,"Fair scores for ensemble forecasts: scores that are optimised by an ensemble sampled from the true distribution, independent of M."
10.1002/met.1392,,Elizabeth E. Ebert et al.,2013,Progress and challenges in forecast verification,Meteorological Applications,120,no,"Progress and challenges in forecast verification: the standard review covering observation representativeness, point-versus-grid mismatch, and spatial methods."
10.1146/annurev-statistics-062713-085831,,Tilmann Gneiting et al.,2014,Probabilistic Forecasting,Annual Review of Statistics and Its Application,900,no,"Review of probabilistic forecasting; consolidates propriety, calibration modes, and evaluation tooling."
10.1175/jhm-d-14-0008.1,,Vincent Fortin et al.,2014,Why Should Ensemble Spread Match the RMSE of the Ensemble Mean?,Journal of Hydrometeorology,262,no,"Why the spread-skill ratio should be compared to sqrt((M+1)/M), not 1, for an M-member ensemble. Directly relevant at 51 members and to any subsampling."
10.1016/j.jhydrol.2015.01.024,,Florian Pappenberger et al.,2015,How do I know if my forecasts are better? Using benchmarks in hydrological ensemble prediction,Journal of Hydrology,232,no,"Benchmarks in ensemble prediction: a method that beats the raw forecast but not climatology has achieved nothing. The baseline argument, made explicitly."
10.1080/07350015.2014.983236,,Francis X. Diebold,2015,"Comparing Predictive Accuracy, Twenty Years Later: A Personal Perspective on the Use and Abuse of Diebold–Mariano Tests",Journal of Business and Economic Statistics,502,no,Retrospective on the Diebold-Mariano test: how to compare predictive accuracy with autocorrelated loss differentials.
10.1175/bams-d-15-00267.1,,Daniel S. Wilks,2016,"“The Stippling Shows Statistically Significant Grid Points”: How Research Results are Routinely Overstated and Overinterpreted, and What to Do about It",Bulletin of the American Meteorological Society,925,no,"Why grid-point-wise significance stippling overstates results, and the false-discovery-rate fix. Directly applicable to per-station significance across 144 stations."
10.1111/ecog.02881,,David R. Roberts et al.,2016,"Cross‐validation strategies for data with temporal, spatial, hierarchical, or phylogenetic structure",Ecography,2777,no,"The reference paper on blocked cross-validation for temporally, spatially and hierarchically structured data; where the block-CV design comes from."
10.1002/qj.2792,,Seonaid R. A. Dey et al.,2016,A new method for the characterization and verification of local spatial predictability for convective‐scale ensembles,Quarterly Journal of the Royal Meteorological Society,41,no,Characterising local spatial predictability for convective-scale ensembles; the neighbourhood question posed as predictability.
10.1175/mwr-d-16-0037.1,,Stefan Siegert et al.,2016,Detecting Improvements in Forecast Correlation Skill: Statistical Testing and Power Analysis,Monthly Weather Review,67,no,Statistical testing for improvements in correlation skill with correlated samples; the significance-testing counterpart to score differences.
10.1017/9781107588783,,Douglas Maraun et al.,2017,Statistical Downscaling and Bias Correction for Climate Research,Cambridge University Press eBooks,554,no,"The reference text on statistical downscaling and bias correction, including its validation chapter and the inflation/variance problems."
10.1175/mwr-d-16-0471.1,,Gregor Skok et al.,2017,Verification of Gridded Wind Forecasts in Complex Alpine Terrain: A New Wind Verification Methodology Based on the Neighborhood Approach,Monthly Weather Review,22,no,Neighbourhood-based wind verification in complex Alpine terrain; a template for verifying wind in orographically complex regions.
10.1007/s11004-017-9709-7,,Michaël Zamo et al.,2017,Estimation of the Continuous Ranked Probability Score with Limited Information and Applications to Ensemble Weather Forecasts,Mathematical Geosciences,159,no,CRPS estimation from a finite ensemble is biased; quantifies the error in different CRPS estimators and warns against comparing parametric and ensemble forecasts naively.
10.1214/16-sts588,,Sebastian Lerch et al.,2017,Forecaster’s Dilemma: Extreme Events and Forecast Evaluation,Statistical Science,25,no,The forecaster's dilemma: conditioning verification on observed extremes favours hedged forecasts. Explains why you cannot simply score 'the cold days only'.
10.1002/joc.5462,,José Manuel Gutiérrez et al.,2018,An intercomparison of a large ensemble of statistical downscaling methods over Europe: Results from the VALUE perfect predictor cross‐validation experiment,International Journal of Climatology,332,no,"VALUE: a framework for validating downscaling methods, with a defined battery of marginal, temporal, spatial and extremal indices."
10.1002/qj.3387,,Martin Leutbecher,2018,Ensemble size: How suboptimal is less than infinity?,Quarterly Journal of the Royal Meteorological Society,131,no,Convergence of CRPS/QS/DSS with ensemble size in an operational 200-member IFS experiment; how many members you actually need.
10.1175/waf-d-17-0162.1,,Sabine Radanovics et al.,2018,Spatial Verification of Ensemble Precipitation: An Ensemble Version of SAL,Weather and Forecasting,22,no,Ensemble version of the SAL structure-amplitude-location score: a features-based alternative to neighbourhood methods for spatial ensemble verification.
10.5194/hess-22-2023-2018,,Shaun Harrigan et al.,2018,Benchmarking ensemble streamflow prediction skill in the UK,Hydrology and earth system sciences,169,no,"Concrete benchmarking hierarchy (climatology, persistence, raw) applied to an operational ensemble system."
10.1175/mwr-d-18-0187.1,,Stephan Rasp et al.,2018,Neural Networks for Postprocessing Ensemble Weather Forecasts,Monthly Weather Review,529,no,"The reference neural-network postprocessing paper for station temperature over a dense network; the concrete architecture, station-embedding idea and CRPS improvements a station-level project would replicate."
10.18637/jss.v090.i12,,Alexander I. Jordan et al.,2019,Evaluating Probabilistic Forecasts with scoringRules,Journal of Statistical Software,226,no,"scoringRules: reference implementation of CRPS, log score, energy/variogram scores; the software to actually compute these."
10.1002/qj.3704,,Martin Leutbecher et al.,2019,On the probabilistic skill of dual‐resolution ensemble forecasts,Quarterly Journal of the Royal Meteorological Society,13,no,Probabilistic skill of dual-resolution ensembles; fair scores used to compare configurations with unequal member counts.
10.1016/j.ecolmodel.2019.06.002,,Patrick Schratz et al.,2019,Hyperparameter tuning and performance assessment of statistical and machine-learning algorithms using spatial data,Ecological Modelling,604,no,"Hyperparameter tuning and performance assessment for spatial data: shows the tuning loop itself must be inside the spatial CV, not outside it."
10.5194/gmd-13-2109-2020,,Jorge Baño‐Medina et al.,2020,Configuration and intercomparison of deep learning neural models for statistical downscaling,Geoscientific model development,266,no,Configuration and intercomparison of deep-learning models for statistical downscaling; concrete protocol and skill numbers.
10.1038/s41467-020-18321-y,,Pierre Ploton et al.,2020,Spatial validation reveals poor predictive performance of large-scale ecological mapping models,Nature Communications,766,no,Documented case of over-optimistic skill from spatial autocorrelation in a high-profile ML application.
10.1175/bams-d-19-0308.1,,Stéphane Vannitsem et al.,2020,"Statistical Postprocessing for Weather Forecasts: Review, Challenges, and Avenues in a Big Data World",Bulletin of the American Meteorological Society,198,no,"Statistical postprocessing review: methods, evaluation practice, and open challenges. The single best orientation paper for the user's actual task."
10.1007/s10994-020-05910-7,,Vítor Cerqueira et al.,2020,Evaluating time series forecasting models: an empirical study on performance estimation methods,Machine Learning,425,no,Empirical comparison of performance-estimation methods for time series; blocked and forward-chaining schemes versus naive k-fold.
10.1016/j.ecolmodel.2021.109692,,Alexandre M.J.‐C. Wadoux et al.,2021,Spatial cross-validation is not the right way to evaluate map accuracy,Ecological Modelling,289,no,The counter-argument: spatial CV can be pessimistically biased for map accuracy. Shows the choice of CV must match the intended inference.
10.1111/2041-210x.13650,,Hanna Meyer et al.,2021,Predicting into unknown space? Estimating the area of applicability of spatial prediction models,Methods in Ecology and Evolution,446,no,"Area of applicability: a method for delineating where a spatial model can be trusted, i.e. whether a station-trained model can be applied to a new location at all."
10.1073/pnas.2016191118,,Timo Dimitriadis et al.,2021,Stable reliability diagrams for probabilistic classifiers,Proceedings of the National Academy of Sciences,82,no,"The CORP reliability diagram: isotonic-regression-based, free of binning choices, with a consistent score decomposition and uncertainty bands. Use this rather than classic binned reliability plots."
10.1175/bams-d-21-0126.1,,Barbara Casati et al.,2022,The 2020 International Verification Methods Workshop Online: Major Outcomes and Way Forward,Bulletin of the American Meteorological Society,8,no,Outcomes of the 2020 International Verification Methods Workshop; current state of spatial and high-resolution verification practice.
10.1016/j.ijforecast.2022.07.003,,Maxime Taillardat et al.,2022,Evaluating probabilistic forecasts of extremes using continuous ranked probability score distributions,International Journal of Forecasting,22,no,Weighted scoring rules for evaluating forecasts of extremes without losing propriety.
10.1175/aies-d-23-0026.1,,Lily‐belle Sweet et al.,2023,Cross-Validation Strategy Impacts the Performance and Interpretation of Machine Learning Models,Artificial Intelligence for the Earth Systems,65,no,Direct demonstration that CV design changes both measured skill and model interpretation on spatiotemporal climate data; feature-space clustering CV performed best on held-out years and regions.
10.1016/j.patter.2023.100804,,Sayash Kapoor et al.,2023,Leakage and the reproducibility crisis in machine-learning-based science,Patterns,855,no,Leakage in ML-based science: a taxonomy of leakage types and a reproducibility checklist.
10.1214/23-ejs2180,,Tilmann Gneiting et al.,2023,"Regression diagnostics meets forecast evaluation: conditional calibration, reliability diagrams, and coefficient of determination",Electronic Journal of Statistics,48,no,Conditional calibration and reliability diagnostics recast as regression diagnostics; introduces the diagnostic framework behind CORP.
,2301.10803,Timo Dimitriadis et al.,2023,Evaluating Probabilistic Classifiers: The Triptych,arXiv (Cornell University),3,yes,"The 'triptych' of diagnostic plots — reliability, discrimination and a Murphy diagram — as a joint evaluation display."
10.1029/2023ms003792,,Timothy A. Smith et al.,2023,Temporal Subsampling Diminishes Small Spatial Scales in Recurrent Neural Network Emulators of Geophysical Turbulence,Journal of Advances in Modeling Earth Systems,8,no,Temporal subsampling in RNN emulators diminishes small spatial scales; mechanism linking training-loss design to loss of variance.
10.1029/2023gl107377,,Massimo Bonavita,2024,On Some Limitations of Current Machine Learning Weather Prediction Models,Geophysical Research Letters,136,no,Spectral evidence that leading AI models damp small scales; effective resolution far coarser than nominal grid. The clearest statement of the blurring problem.
10.1029/2024gl112492,,Neelesh Rampal et al.,2024,On the Extrapolation of Generative Adversarial Networks for Downscaling Precipitation Extremes in Warmer Climates,Geophysical Research Letters,10,no,GAN downscaling of precipitation extremes fails to extrapolate to warmer climates; a documented generalisation failure of a generative downscaler.
10.1214/24-ejs2316,,Sebastian J. Arnold et al.,2024,Decompositions of the mean continuous ranked probability score,Electronic Journal of Statistics,9,no,"Modern rigorous treatment of CRPS decompositions (CORP-style), correcting bias in classical binned decompositions."
,2412.15832,Simon Lang et al.,2024,AIFS-CRPS: Ensemble forecasting using a model trained with a loss function based on the Continuous Ranked Probability Score,,,yes,AIFS-CRPS: ECMWF's ensemble AIFS trained on the almost-fair CRPS. Explains why fair CRPS degenerates as a training loss and how afCRPS fixes it. Directly about the user's model.
10.1029/2023ms004019,,Stephan Rasp et al.,2024,WeatherBench 2: A Benchmark for the Next Generation of Data‐Driven Global Weather Models,Journal of Advances in Modeling Earth Systems,195,no,"WeatherBench 2: the reference evaluation protocol, headline scores, baselines, and an explicit discussion of how blurring lowers RMSE while SEEPS reverses the ranking."
10.1002/qj.4824,,Tobias Necker et al.,2024,The fractions skill score for ensemble forecast verification,Quarterly Journal of the Royal Meteorological Society,15,no,Four candidate ensemble FSS formulations behave very differently; only the probabilistic FSS is well behaved with ensemble size. Essential if you use FSS on an ensemble.
10.1175/bams-d-23-0162.1,,Zied Ben Bouallègue et al.,2024,The Rise of Data-Driven Weather Forecasting: A First Statistical Assessment of Machine Learning–Based Weather Forecasts in an Operational-Like Context,Bulletin of the American Meteorological Society,159,no,"First operational-style statistical assessment of an AI model vs IFS, verified against both analysis and synoptic observations; identifies over-smoothing as a core drawback."
10.1175/mwr-d-24-0189.1,,Arlan Dirkson et al.,2025,The Effect of Ensemble Size on the Mean Squared Error and Spread–Error Relationship,Monthly Weather Review,5,no,"Effect of ensemble size on MSE and the spread-error relationship, with correction factors."
10.1029/2024gl113656,,Noah Brenowitz et al.,2025,A Practical Probabilistic Benchmark for AI Weather Models,Geophysical Research Letters,23,no,Lagged-ensemble probabilistic benchmark for AI models; shows deterministic skill ranking does not carry over to probabilistic skill.
,2606.21170,Tobias Biegert et al.,2026,Towards Fair Comparisons of AI- and Physics-Based Weather Models for Extreme Events via the Weighted Potential CRPS,,,yes,Weighted potential CRPS for fair comparison of AI and physics-based models on extreme events; the current frontier of this argument.
